# Format: year	player1	player2	weight	team
2010	Alexis Mac Allister	Andrew Robertson	1	Liverpool
2010	Alexis Mac Allister	Daniel Sturridge	1	Liverpool
2010	Alexis Mac Allister	Darwin Nunez	1	Liverpool
2010	Alexis Mac Allister	Diogo Jota	1	Liverpool
2010	Alexis Mac Allister	Dominik Szoboszlai	1	Liverpool
2010	Alexis Mac Allister	Fabinho	1	Liverpool
2010	Alexis Mac Allister	Fernando Torres	1	Liverpool
2010	Alexis Mac Allister	Gini Wijnaldum	1	Liverpool
2010	Alexis Mac Allister	Ibrahima Konaté	1	Liverpool
2010	Alexis Mac Allister	James Milner	1	Liverpool
2010	Alexis Mac Allister	Jamie Carragher	1	Liverpool
2010	Alexis Mac Allister	Joe Gomez	1	Liverpool
2010	Alexis Mac Allister	Joel Matip	1	Liverpool
2010	Alexis Mac Allister	Luis Diaz	1	Liverpool
2010	Alexis Mac Allister	Martin Skrtel	1	Liverpool
2010	Alexis Mac Allister	Mohamed Salah	1	Liverpool
2010	Alexis Mac Allister	Roberto Firmino	1	Liverpool
2010	Alexis Mac Allister	Sami Hyypia	1	Liverpool
2010	Alexis Mac Allister	Steven Gerrard	1	Liverpool
2010	Alexis Mac Allister	Thiago Alcantara	1	Liverpool
2010	Alexis Mac Allister	Trent Alexander-Arnold	1	Liverpool
2010	Alexis Mac Allister	Virgil van Dijk	1	Liverpool
2010	Alexis Mac Allister	Xabi Alonso	1	Liverpool
2010	Alisson Becker	Andrew Robertson	1	Liverpool
2010	Alisson Becker	Daniel Sturridge	1	Liverpool
2010	Alisson Becker	Darwin Nunez	1	Liverpool
2010	Alisson Becker	Diogo Jota	1	Liverpool
2010	Alisson Becker	Dominik Szoboszlai	1	Liverpool
2010	Alisson Becker	Fabinho	1	Liverpool
2010	Alisson Becker	Fernando Torres	1	Liverpool
2010	Alisson Becker	Gini Wijnaldum	1	Liverpool
2010	Alisson Becker	Ibrahima Konaté	1	Liverpool
2010	Alisson Becker	James Milner	1	Liverpool
2010	Alisson Becker	Jamie Carragher	1	Liverpool
2010	Alisson Becker	Joe Gomez	1	Liverpool
2010	Alisson Becker	Joel Matip	1	Liverpool
2010	Alisson Becker	Luis Diaz	1	Liverpool
2010	Alisson Becker	Martin Skrtel	1	Liverpool
2010	Alisson Becker	Mohamed Salah	1	Liverpool
2010	Alisson Becker	Roberto Firmino	1	Liverpool
2010	Alisson Becker	Sami Hyypia	1	Liverpool
2010	Alisson Becker	Steven Gerrard	1	Liverpool
2010	Alisson Becker	Thiago Alcantara	1	Liverpool
2010	Alisson Becker	Trent Alexander-Arnold	1	Liverpool
2010	Alisson Becker	Virgil van Dijk	1	Liverpool
2010	Alisson Becker	Xabi Alonso	1	Liverpool
2010	Alphonso Davies	Arjen Robben	1	Bayern Munich
2010	Alphonso Davies	Bastian Schweinsteiger	1	Bayern Munich
2010	Alphonso Davies	David Alaba	1	Bayern Munich
2010	Alphonso Davies	Dayot Upamecano	1	Bayern Munich
2010	Alphonso Davies	Eric Maxim Choupo-Moting	1	Bayern Munich
2010	Alphonso Davies	Franck Ribery	1	Bayern Munich
2010	Alphonso Davies	Harry Kane	1	Bayern Munich
2010	Alphonso Davies	Jamal Musiala	1	Bayern Munich
2010	Alphonso Davies	Jerome Boateng	1	Bayern Munich
2010	Alphonso Davies	Joshua Kimmich	1	Bayern Munich
2010	Alphonso Davies	Kingsley Coman	1	Bayern Munich
2010	Alphonso Davies	Leon Goretzka	1	Bayern Munich
2010	Alphonso Davies	Leroy Sane	1	Bayern Munich
2010	Alphonso Davies	Mario Mandzukic	1	Bayern Munich
2010	Alphonso Davies	Mats Hummels	1	Bayern Munich
2010	Alphonso Davies	Matthijs de Ligt	1	Bayern Munich
2010	Alphonso Davies	Oliver Kahn	1	Bayern Munich
2010	Alphonso Davies	Philipp Lahm	1	Bayern Munich
2010	Alphonso Davies	Rafinha	1	Bayern Munich
2010	Alphonso Davies	Robert Lewandowski	1	Bayern Munich
2010	Alphonso Davies	Serge Gnabry	1	Bayern Munich
2010	Alphonso Davies	Sven Ulreich	1	Bayern Munich
2010	Alphonso Davies	Thomas Muller	2	Bayern Munich
2010	Andre Onana	Anthony Martial	1	Manchester United
2010	Andre Onana	Bruno Fernandes	1	Manchester United
2010	Andre Onana	Casemiro	1	Manchester United
2010	Andre Onana	Christian Eriksen	1	Manchester United
2010	Andre Onana	Cristiano Ronaldo	1	Manchester United
2010	Andre Onana	David Beckham	1	Manchester United
2010	Andre Onana	David de Gea	1	Manchester United
2010	Andre Onana	Eric Cantona	1	Manchester United
2010	Andre Onana	Gary Neville	1	Manchester United
2010	Andre Onana	Harry Maguire	1	Manchester United
2010	Andre Onana	Lisandro Martinez	1	Manchester United
2010	Andre Onana	Luke Shaw	1	Manchester United
2010	Andre Onana	Nemanja Vidic	1	Manchester United
2010	Andre Onana	Patrice Evra	1	Manchester United
2010	Andre Onana	Paul Scholes	1	Manchester United
2010	Andre Onana	Peter Schmeichel	1	Manchester United
2010	Andre Onana	Rio Ferdinand	1	Manchester United
2010	Andre Onana	Roy Keane	1	Manchester United
2010	Andre Onana	Ruud van Nistelrooy	1	Manchester United
2010	Andre Onana	Ryan Giggs	1	Manchester United
2010	Andre Onana	Wayne Rooney	1	Manchester United
2010	Andrea Pirlo	Andriy Shevchenko	1	AC Milan
2010	Andrea Pirlo	Brahim Diaz	1	AC Milan
2010	Andrea Pirlo	Cafu	1	AC Milan
2010	Andrea Pirlo	Christian Pulisic	1	AC Milan
2010	Andrea Pirlo	Clarence Seedorf	1	AC Milan
2010	Andrea Pirlo	Davide Calabria	1	AC Milan
2010	Andrea Pirlo	Fikayo Tomori	1	AC Milan
2010	Andrea Pirlo	Filippo Inzaghi	1	AC Milan
2010	Andrea Pirlo	Gennaro Gattuso	1	AC Milan
2010	Andrea Pirlo	Gianluigi Donnarumma	1	AC Milan
2010	Andrea Pirlo	Ismael Bennacer	1	AC Milan
2010	Andrea Pirlo	Kaka	1	AC Milan
2010	Andrea Pirlo	Mike Maignan	1	AC Milan
2010	Andrea Pirlo	Olivier Giroud	1	AC Milan
2010	Andrea Pirlo	Paolo Maldini	1	AC Milan
2010	Andrea Pirlo	Rafael Leao	1	AC Milan
2010	Andrea Pirlo	Samuel Chukwueze	1	AC Milan
2010	Andrea Pirlo	Sandro Tonali	1	AC Milan
2010	Andrea Pirlo	Simon Kjær	1	AC Milan
2010	Andrea Pirlo	Theo Hernandez	1	AC Milan
2010	Andrea Pirlo	Zlatan Ibrahimović	1	AC Milan
2010	Andres Iniesta	Carles Puyol	1	Barcelona
2010	Andres Iniesta	Dani Alves	1	Barcelona
2010	Andres Iniesta	Frenkie de Jong	1	Barcelona
2010	Andres Iniesta	Gavi	1	Barcelona
2010	Andres Iniesta	Gerard Pique	1	Barcelona
2010	Andres Iniesta	Ilkay Gundogan	1	Barcelona
2010	Andres Iniesta	Inaki Pena	1	Barcelona
2010	Andres Iniesta	Jordi Alba	1	Barcelona
2010	Andres Iniesta	Jules Kounde	1	Barcelona
2010	Andres Iniesta	Lamine Yamal	1	Barcelona
2010	Andres Iniesta	Lionel Messi	1	Barcelona
2010	Andres Iniesta	Luis Suarez	1	Barcelona
2010	Andres Iniesta	Marc-Andre ter Stegen	1	Barcelona
2010	Andres Iniesta	Neymar	1	Barcelona
2010	Andres Iniesta	Pedri	1	Barcelona
2010	Andres Iniesta	Raphinha	1	Barcelona
2010	Andres Iniesta	Robert Lewandowski	1	Barcelona
2010	Andres Iniesta	Ronald Araujo	1	Barcelona
2010	Andres Iniesta	Samuel Eto'o	1	Barcelona
2010	Andres Iniesta	Sergio Busquets	1	Barcelona
2010	Andres Iniesta	Victor Valdes	1	Barcelona
2010	Andres Iniesta	Xavi Hernandez	1	Barcelona
2010	Andrew Robertson	Daniel Sturridge	1	Liverpool
2010	Andrew Robertson	Darwin Nunez	1	Liverpool
2010	Andrew Robertson	Diogo Jota	1	Liverpool
2010	Andrew Robertson	Dominik Szoboszlai	1	Liverpool
2010	Andrew Robertson	Fabinho	1	Liverpool
2010	Andrew Robertson	Fernando Torres	1	Liverpool
2010	Andrew Robertson	Gini Wijnaldum	1	Liverpool
2010	Andrew Robertson	Ibrahima Konaté	1	Liverpool
2010	Andrew Robertson	James Milner	1	Liverpool
2010	Andrew Robertson	Jamie Carragher	1	Liverpool
2010	Andrew Robertson	Joe Gomez	1	Liverpool
2010	Andrew Robertson	Joel Matip	1	Liverpool
2010	Andrew Robertson	Luis Diaz	1	Liverpool
2010	Andrew Robertson	Martin Skrtel	1	Liverpool
2010	Andrew Robertson	Mohamed Salah	1	Liverpool
2010	Andrew Robertson	Roberto Firmino	1	Liverpool
2010	Andrew Robertson	Sami Hyypia	1	Liverpool
2010	Andrew Robertson	Steven Gerrard	1	Liverpool
2010	Andrew Robertson	Thiago Alcantara	1	Liverpool
2010	Andrew Robertson	Trent Alexander-Arnold	1	Liverpool
2010	Andrew Robertson	Virgil van Dijk	1	Liverpool
2010	Andrew Robertson	Xabi Alonso	1	Liverpool
2010	Andriy Shevchenko	Brahim Diaz	1	AC Milan
2010	Andriy Shevchenko	Cafu	1	AC Milan
2010	Andriy Shevchenko	Christian Pulisic	1	AC Milan
2010	Andriy Shevchenko	Clarence Seedorf	1	AC Milan
2010	Andriy Shevchenko	Davide Calabria	1	AC Milan
2010	Andriy Shevchenko	Fikayo Tomori	1	AC Milan
2010	Andriy Shevchenko	Filippo Inzaghi	1	AC Milan
2010	Andriy Shevchenko	Gennaro Gattuso	1	AC Milan
2010	Andriy Shevchenko	Gianluigi Donnarumma	1	AC Milan
2010	Andriy Shevchenko	Ismael Bennacer	1	AC Milan
2010	Andriy Shevchenko	Kaka	1	AC Milan
2010	Andriy Shevchenko	Mike Maignan	1	AC Milan
2010	Andriy Shevchenko	Olivier Giroud	1	AC Milan
2010	Andriy Shevchenko	Paolo Maldini	1	AC Milan
2010	Andriy Shevchenko	Rafael Leao	1	AC Milan
2010	Andriy Shevchenko	Samuel Chukwueze	1	AC Milan
2010	Andriy Shevchenko	Sandro Tonali	1	AC Milan
2010	Andriy Shevchenko	Simon Kjær	1	AC Milan
2010	Andriy Shevchenko	Theo Hernandez	1	AC Milan
2010	Andriy Shevchenko	Zlatan Ibrahimović	1	AC Milan
2010	Anthony Martial	Bruno Fernandes	1	Manchester United
2010	Anthony Martial	Casemiro	1	Manchester United
2010	Anthony Martial	Christian Eriksen	1	Manchester United
2010	Anthony Martial	Cristiano Ronaldo	1	Manchester United
2010	Anthony Martial	David Beckham	1	Manchester United
2010	Anthony Martial	David de Gea	1	Manchester United
2010	Anthony Martial	Eric Cantona	1	Manchester United
2010	Anthony Martial	Gary Neville	1	Manchester United
2010	Anthony Martial	Harry Maguire	1	Manchester United
2010	Anthony Martial	Lisandro Martinez	1	Manchester United
2010	Anthony Martial	Luke Shaw	1	Manchester United
2010	Anthony Martial	Nemanja Vidic	1	Manchester United
2010	Anthony Martial	Patrice Evra	1	Manchester United
2010	Anthony Martial	Paul Scholes	1	Manchester United
2010	Anthony Martial	Peter Schmeichel	1	Manchester United
2010	Anthony Martial	Rio Ferdinand	1	Manchester United
2010	Anthony Martial	Roy Keane	1	Manchester United
2010	Anthony Martial	Ruud van Nistelrooy	1	Manchester United
2010	Anthony Martial	Ryan Giggs	1	Manchester United
2010	Anthony Martial	Wayne Rooney	1	Manchester United
2010	Antonio Rudiger	Casemiro	1	Real Madrid
2010	Antonio Rudiger	Claude Makelele	1	Real Madrid
2010	Antonio Rudiger	Cristiano Ronaldo	1	Real Madrid
2010	Antonio Rudiger	Dani Carvajal	1	Real Madrid
2010	Antonio Rudiger	David Alaba	1	Real Madrid
2010	Antonio Rudiger	Eduardo Camavinga	1	Real Madrid
2010	Antonio Rudiger	Federico Valverde	1	Real Madrid
2010	Antonio Rudiger	Ferland Mendy	1	Real Madrid
2010	Antonio Rudiger	Gareth Bale	1	Real Madrid
2010	Antonio Rudiger	Iker Casillas	1	Real Madrid
2010	Antonio Rudiger	Jude Bellingham	1	Real Madrid
2010	Antonio Rudiger	Karim Benzema	1	Real Madrid
2010	Antonio Rudiger	Kylian Mbappe	1	Real Madrid
2010	Antonio Rudiger	Luka Modric	1	Real Madrid
2010	Antonio Rudiger	Marcelo	1	Real Madrid
2010	Antonio Rudiger	Raphael Varane	1	Real Madrid
2010	Antonio Rudiger	Raul	1	Real Madrid
2010	Antonio Rudiger	Sergio Ramos	1	Real Madrid
2010	Antonio Rudiger	Thibaut Courtois	1	Real Madrid
2010	Antonio Rudiger	Toni Kroos	1	Real Madrid
2010	Antonio Rudiger	Zinedine Zidane	1	Real Madrid
2010	Arjen Robben	Bastian Schweinsteiger	1	Bayern Munich
2010	Arjen Robben	David Alaba	1	Bayern Munich
2010	Arjen Robben	Dayot Upamecano	1	Bayern Munich
2010	Arjen Robben	Eric Maxim Choupo-Moting	1	Bayern Munich
2010	Arjen Robben	Franck Ribery	1	Bayern Munich
2010	Arjen Robben	Harry Kane	1	Bayern Munich
2010	Arjen Robben	Jamal Musiala	1	Bayern Munich
2010	Arjen Robben	Jerome Boateng	1	Bayern Munich
2010	Arjen Robben	Joshua Kimmich	1	Bayern Munich
2010	Arjen Robben	Kingsley Coman	1	Bayern Munich
2010	Arjen Robben	Leon Goretzka	1	Bayern Munich
2010	Arjen Robben	Leroy Sane	1	Bayern Munich
2010	Arjen Robben	Mario Mandzukic	1	Bayern Munich
2010	Arjen Robben	Mats Hummels	1	Bayern Munich
2010	Arjen Robben	Matthijs de Ligt	1	Bayern Munich
2010	Arjen Robben	Oliver Kahn	1	Bayern Munich
2010	Arjen Robben	Philipp Lahm	1	Bayern Munich
2010	Arjen Robben	Rafinha	1	Bayern Munich
2010	Arjen Robben	Robert Lewandowski	1	Bayern Munich
2010	Arjen Robben	Serge Gnabry	1	Bayern Munich
2010	Arjen Robben	Sven Ulreich	1	Bayern Munich
2010	Arjen Robben	Thomas Muller	2	Bayern Munich
2010	Artur Boruc	Artur Jędrzejczyk	1	Legia Warszawa
2010	Artur Boruc	Bartosz Bereszyński	1	Legia Warszawa
2010	Artur Boruc	Bartosz Kapustka	1	Legia Warszawa
2010	Artur Boruc	Blaz Kramer	1	Legia Warszawa
2010	Artur Boruc	Carlitos	1	Legia Warszawa
2010	Artur Boruc	Ernest Muçi	1	Legia Warszawa
2010	Artur Boruc	Jakub Rzeźniczak	1	Legia Warszawa
2010	Artur Boruc	Josue	1	Legia Warszawa
2010	Artur Boruc	Kacper Tobiasz	1	Legia Warszawa
2010	Artur Boruc	Krzysztof Mączyński	1	Legia Warszawa
2010	Artur Boruc	Luquinhas	1	Legia Warszawa
2010	Artur Boruc	Maik Nawrocki	1	Legia Warszawa
2010	Artur Boruc	Marc Gual	1	Legia Warszawa
2010	Artur Boruc	Michał Pazdan	1	Legia Warszawa
2010	Artur Boruc	Miroslav Radović	1	Legia Warszawa
2010	Artur Boruc	Nemanja Nikolić	1	Legia Warszawa
2010	Artur Boruc	Radosław Cierzniak	1	Legia Warszawa
2010	Artur Boruc	Tomasz Brzyski	1	Legia Warszawa
2010	Artur Boruc	Tomasz Jodłowiec	1	Legia Warszawa
2010	Artur Boruc	Vadis Odjidja-Ofoe	1	Legia Warszawa
2010	Artur Boruc	Yuri Ribeiro	1	Legia Warszawa
2010	Artur Jędrzejczyk	Bartosz Bereszyński	1	Legia Warszawa
2010	Artur Jędrzejczyk	Bartosz Kapustka	1	Legia Warszawa
2010	Artur Jędrzejczyk	Blaz Kramer	1	Legia Warszawa
2010	Artur Jędrzejczyk	Carlitos	1	Legia Warszawa
2010	Artur Jędrzejczyk	Ernest Muçi	1	Legia Warszawa
2010	Artur Jędrzejczyk	Jakub Rzeźniczak	1	Legia Warszawa
2010	Artur Jędrzejczyk	Josue	1	Legia Warszawa
2010	Artur Jędrzejczyk	Kacper Tobiasz	1	Legia Warszawa
2010	Artur Jędrzejczyk	Krzysztof Mączyński	1	Legia Warszawa
2010	Artur Jędrzejczyk	Luquinhas	1	Legia Warszawa
2010	Artur Jędrzejczyk	Maik Nawrocki	1	Legia Warszawa
2010	Artur Jędrzejczyk	Marc Gual	1	Legia Warszawa
2010	Artur Jędrzejczyk	Michał Pazdan	1	Legia Warszawa
2010	Artur Jędrzejczyk	Miroslav Radović	1	Legia Warszawa
2010	Artur Jędrzejczyk	Nemanja Nikolić	1	Legia Warszawa
2010	Artur Jędrzejczyk	Radosław Cierzniak	1	Legia Warszawa
2010	Artur Jędrzejczyk	Tomasz Brzyski	1	Legia Warszawa
2010	Artur Jędrzejczyk	Tomasz Jodłowiec	1	Legia Warszawa
2010	Artur Jędrzejczyk	Vadis Odjidja-Ofoe	1	Legia Warszawa
2010	Artur Jędrzejczyk	Yuri Ribeiro	1	Legia Warszawa
2010	Bartosz Bereszyński	Bartosz Kapustka	1	Legia Warszawa
2010	Bartosz Bereszyński	Blaz Kramer	1	Legia Warszawa
2010	Bartosz Bereszyński	Carlitos	1	Legia Warszawa
2010	Bartosz Bereszyński	Ernest Muçi	1	Legia Warszawa
2010	Bartosz Bereszyński	Jakub Rzeźniczak	1	Legia Warszawa
2010	Bartosz Bereszyński	Josue	1	Legia Warszawa
2010	Bartosz Bereszyński	Kacper Tobiasz	1	Legia Warszawa
2010	Bartosz Bereszyński	Krzysztof Mączyński	1	Legia Warszawa
2010	Bartosz Bereszyński	Luquinhas	1	Legia Warszawa
2010	Bartosz Bereszyński	Maik Nawrocki	1	Legia Warszawa
2010	Bartosz Bereszyński	Marc Gual	1	Legia Warszawa
2010	Bartosz Bereszyński	Michał Pazdan	1	Legia Warszawa
2010	Bartosz Bereszyński	Miroslav Radović	1	Legia Warszawa
2010	Bartosz Bereszyński	Nemanja Nikolić	1	Legia Warszawa
2010	Bartosz Bereszyński	Radosław Cierzniak	1	Legia Warszawa
2010	Bartosz Bereszyński	Tomasz Brzyski	1	Legia Warszawa
2010	Bartosz Bereszyński	Tomasz Jodłowiec	1	Legia Warszawa
2010	Bartosz Bereszyński	Vadis Odjidja-Ofoe	1	Legia Warszawa
2010	Bartosz Bereszyński	Yuri Ribeiro	1	Legia Warszawa
2010	Bartosz Kapustka	Blaz Kramer	1	Legia Warszawa
2010	Bartosz Kapustka	Carlitos	1	Legia Warszawa
2010	Bartosz Kapustka	Ernest Muçi	1	Legia Warszawa
2010	Bartosz Kapustka	Jakub Rzeźniczak	1	Legia Warszawa
2010	Bartosz Kapustka	Josue	1	Legia Warszawa
2010	Bartosz Kapustka	Kacper Tobiasz	1	Legia Warszawa
2010	Bartosz Kapustka	Krzysztof Mączyński	1	Legia Warszawa
2010	Bartosz Kapustka	Luquinhas	1	Legia Warszawa
2010	Bartosz Kapustka	Maik Nawrocki	1	Legia Warszawa
2010	Bartosz Kapustka	Marc Gual	1	Legia Warszawa
2010	Bartosz Kapustka	Michał Pazdan	1	Legia Warszawa
2010	Bartosz Kapustka	Miroslav Radović	1	Legia Warszawa
2010	Bartosz Kapustka	Nemanja Nikolić	1	Legia Warszawa
2010	Bartosz Kapustka	Radosław Cierzniak	1	Legia Warszawa
2010	Bartosz Kapustka	Tomasz Brzyski	1	Legia Warszawa
2010	Bartosz Kapustka	Tomasz Jodłowiec	1	Legia Warszawa
2010	Bartosz Kapustka	Vadis Odjidja-Ofoe	1	Legia Warszawa
2010	Bartosz Kapustka	Yuri Ribeiro	1	Legia Warszawa
2010	Bastian Schweinsteiger	David Alaba	1	Bayern Munich
2010	Bastian Schweinsteiger	Dayot Upamecano	1	Bayern Munich
2010	Bastian Schweinsteiger	Eric Maxim Choupo-Moting	1	Bayern Munich
2010	Bastian Schweinsteiger	Franck Ribery	1	Bayern Munich
2010	Bastian Schweinsteiger	Harry Kane	1	Bayern Munich
2010	Bastian Schweinsteiger	Jamal Musiala	1	Bayern Munich
2010	Bastian Schweinsteiger	Jerome Boateng	1	Bayern Munich
2010	Bastian Schweinsteiger	Joshua Kimmich	1	Bayern Munich
2010	Bastian Schweinsteiger	Kingsley Coman	1	Bayern Munich
2010	Bastian Schweinsteiger	Leon Goretzka	1	Bayern Munich
2010	Bastian Schweinsteiger	Leroy Sane	1	Bayern Munich
2010	Bastian Schweinsteiger	Mario Mandzukic	1	Bayern Munich
2010	Bastian Schweinsteiger	Mats Hummels	1	Bayern Munich
2010	Bastian Schweinsteiger	Matthijs de Ligt	1	Bayern Munich
2010	Bastian Schweinsteiger	Oliver Kahn	1	Bayern Munich
2010	Bastian Schweinsteiger	Philipp Lahm	1	Bayern Munich
2010	Bastian Schweinsteiger	Rafinha	1	Bayern Munich
2010	Bastian Schweinsteiger	Robert Lewandowski	1	Bayern Munich
2010	Bastian Schweinsteiger	Serge Gnabry	1	Bayern Munich
2010	Bastian Schweinsteiger	Sven Ulreich	1	Bayern Munich
2010	Bastian Schweinsteiger	Thomas Muller	2	Bayern Munich
2010	Blaz Kramer	Carlitos	1	Legia Warszawa
2010	Blaz Kramer	Ernest Muçi	1	Legia Warszawa
2010	Blaz Kramer	Jakub Rzeźniczak	1	Legia Warszawa
2010	Blaz Kramer	Josue	1	Legia Warszawa
2010	Blaz Kramer	Kacper Tobiasz	1	Legia Warszawa
2010	Blaz Kramer	Krzysztof Mączyński	1	Legia Warszawa
2010	Blaz Kramer	Luquinhas	1	Legia Warszawa
2010	Blaz Kramer	Maik Nawrocki	1	Legia Warszawa
2010	Blaz Kramer	Marc Gual	1	Legia Warszawa
2010	Blaz Kramer	Michał Pazdan	1	Legia Warszawa
2010	Blaz Kramer	Miroslav Radović	1	Legia Warszawa
2010	Blaz Kramer	Nemanja Nikolić	1	Legia Warszawa
2010	Blaz Kramer	Radosław Cierzniak	1	Legia Warszawa
2010	Blaz Kramer	Tomasz Brzyski	1	Legia Warszawa
2010	Blaz Kramer	Tomasz Jodłowiec	1	Legia Warszawa
2010	Blaz Kramer	Vadis Odjidja-Ofoe	1	Legia Warszawa
2010	Blaz Kramer	Yuri Ribeiro	1	Legia Warszawa
2010	Brahim Diaz	Cafu	1	AC Milan
2010	Brahim Diaz	Christian Pulisic	1	AC Milan
2010	Brahim Diaz	Clarence Seedorf	1	AC Milan
2010	Brahim Diaz	Davide Calabria	1	AC Milan
2010	Brahim Diaz	Fikayo Tomori	1	AC Milan
2010	Brahim Diaz	Filippo Inzaghi	1	AC Milan
2010	Brahim Diaz	Gennaro Gattuso	1	AC Milan
2010	Brahim Diaz	Gianluigi Donnarumma	1	AC Milan
2010	Brahim Diaz	Ismael Bennacer	1	AC Milan
2010	Brahim Diaz	Kaka	1	AC Milan
2010	Brahim Diaz	Mike Maignan	1	AC Milan
2010	Brahim Diaz	Olivier Giroud	1	AC Milan
2010	Brahim Diaz	Paolo Maldini	1	AC Milan
2010	Brahim Diaz	Rafael Leao	1	AC Milan
2010	Brahim Diaz	Samuel Chukwueze	1	AC Milan
2010	Brahim Diaz	Sandro Tonali	1	AC Milan
2010	Brahim Diaz	Simon Kjær	1	AC Milan
2010	Brahim Diaz	Theo Hernandez	1	AC Milan
2010	Brahim Diaz	Zlatan Ibrahimović	1	AC Milan
2010	Bruno Fernandes	Casemiro	1	Manchester United
2010	Bruno Fernandes	Christian Eriksen	1	Manchester United
2010	Bruno Fernandes	Cristiano Ronaldo	1	Manchester United
2010	Bruno Fernandes	David Beckham	1	Manchester United
2010	Bruno Fernandes	David de Gea	1	Manchester United
2010	Bruno Fernandes	Eric Cantona	1	Manchester United
2010	Bruno Fernandes	Gary Neville	1	Manchester United
2010	Bruno Fernandes	Harry Maguire	1	Manchester United
2010	Bruno Fernandes	Lisandro Martinez	1	Manchester United
