# Player co-occurrence graph for 2015
# Format: player1	player2	weight	team
Daniel Agger	James Milner	1	Liverpool
Daniel Agger	Joe Gomez	1	Liverpool
Daniel Agger	Jordan Henderson	1	Liverpool
Daniel Agger	Martin Skrtel	1	Liverpool
Daniel Agger	Sadio Mane	1	Liverpool
Daniel Agger	Steven Gerrard	1	Liverpool
Daniel Agger	Thiago Alcantara	1	Liverpool
Daniel Agger	Virgil van Dijk	1	Liverpool
Daniel Agger	Xabi Alonso	1	Liverpool
Daniel Sturridge	Harvey Elliott	1	Liverpool
Daniel Sturridge	Jordan Henderson	1	Liverpool
Daniel Sturridge	Sadio Mane	1	Liverpool
Fabinho	Harvey Elliott	1	Liverpool
Fabinho	Jordan Henderson	1	Liverpool
Fabinho	Sadio Mane	1	Liverpool
Fernando Torres	Harvey Elliott	1	Liverpool
Fernando Torres	Jordan Henderson	1	Liverpool
Fernando Torres	Sadio Mane	1	Liverpool
Gini Wijnaldum	Harvey Elliott	1	Liverpool
Gini Wijnaldum	Jordan Henderson	1	Liverpool
Gini Wijnaldum	Sadio Mane	1	Liverpool
Harvey Elliott	James Milner	1	Liverpool
Harvey Elliott	Joe Gomez	1	Liverpool
Harvey Elliott	Jordan Henderson	1	Liverpool
Harvey Elliott	Martin Skrtel	1	Liverpool
Harvey Elliott	Sadio Mane	1	Liverpool
Harvey Elliott	Steven Gerrard	1	Liverpool
Harvey Elliott	Thiago Alcantara	1	Liverpool
Harvey Elliott	Virgil van Dijk	1	Liverpool
Harvey Elliott	Xabi Alonso	1	Liverpool
James Milner	Jordan Henderson	1	Liverpool
James Milner	Sadio Mane	1	Liverpool
Joe Gomez	Jordan Henderson	1	Liverpool
Joe Gomez	Sadio Mane	1	Liverpool
Jordan Henderson	Martin Skrtel	1	Liverpool
Jordan Henderson	Sadio Mane	1	Liverpool
Jordan Henderson	Steven Gerrard	1	Liverpool
Jordan Henderson	Thiago Alcantara	1	Liverpool
Jordan Henderson	Virgil van Dijk	1	Liverpool
Jordan Henderson	Xabi Alonso	1	Liverpool
Martin Skrtel	Sadio Mane	1	Liverpool
Sadio Mane	Steven Gerrard	1	Liverpool
Sadio Mane	Thiago Alcantara	1	Liverpool
Sadio Mane	Virgil van Dijk	1	Liverpool
Sadio Mane	Xabi Alonso	1	Liverpool
Adrian San Miguel	Kostas Tsimikas	1	Liverpool
Alexis Mac Allister	Kostas Tsimikas	1	Liverpool
Alisson Becker	Caoimhin Kelleher	1	Liverpool
Alisson Becker	Daniel Agger	1	Liverpool
Alisson Becker	Harvey Elliott	1	Liverpool
Alisson Becker	Jordan Henderson	1	Liverpool
Alisson Becker	Kostas Tsimikas	1	Liverpool
Caoimhin Kelleher	Kostas Tsimikas	1	Liverpool
Caoimhin Kelleher	Mohamed Salah	1	Liverpool
Caoimhin Kelleher	Roberto Firmino	1	Liverpool
Caoimhin Kelleher	Trent Alexander-Arnold	1	Liverpool
Daniel Agger	Kostas Tsimikas	1	Liverpool
Daniel Agger	Mohamed Salah	1	Liverpool
Daniel Agger	Roberto Firmino	1	Liverpool
Daniel Agger	Trent Alexander-Arnold	1	Liverpool
Daniel Sturridge	Kostas Tsimikas	1	Liverpool
Fabinho	Kostas Tsimikas	1	Liverpool
Gini Wijnaldum	Kostas Tsimikas	1	Liverpool
Harvey Elliott	Kostas Tsimikas	1	Liverpool
Harvey Elliott	Mohamed Salah	1	Liverpool
Harvey Elliott	Roberto Firmino	1	Liverpool
Harvey Elliott	Trent Alexander-Arnold	1	Liverpool
James Milner	Kostas Tsimikas	1	Liverpool
Jordan Henderson	Kostas Tsimikas	1	Liverpool
Jordan Henderson	Mohamed Salah	1	Liverpool
Jordan Henderson	Roberto Firmino	1	Liverpool
Jordan Henderson	Trent Alexander-Arnold	1	Liverpool
Kostas Tsimikas	Mohamed Salah	1	Liverpool
Kostas Tsimikas	Roberto Firmino	1	Liverpool
Kostas Tsimikas	Steven Gerrard	1	Liverpool
Kostas Tsimikas	Thiago Alcantara	1	Liverpool
Kostas Tsimikas	Trent Alexander-Arnold	1	Liverpool
Kostas Tsimikas	Virgil van Dijk	1	Liverpool
Kostas Tsimikas	Xabi Alonso	1	Liverpool
Alisson Becker	Sadio Mane	1	Liverpool
Caoimhin Kelleher	Luis Diaz	1	Liverpool
Caoimhin Kelleher	Sami Hyypia	1	Liverpool
Fernando Torres	Kostas Tsimikas	1	Liverpool
Harvey Elliott	Luis Diaz	1	Liverpool
Harvey Elliott	Sami Hyypia	1	Liverpool
Joe Gomez	Kostas Tsimikas	1	Liverpool
Kostas Tsimikas	Luis Diaz	1	Liverpool
Kostas Tsimikas	Martin Skrtel	1	Liverpool
Kostas Tsimikas	Sadio Mane	1	Liverpool
Kostas Tsimikas	Sami Hyypia	1	Liverpool
Luis Diaz	Sadio Mane	1	Liverpool
Mohamed Salah	Sadio Mane	1	Liverpool
Sadio Mane	Sami Hyypia	1	Liverpool
Daniel Agger	Luis Diaz	1	Liverpool
Jordan Henderson	Luis Diaz	1	Liverpool
Roberto Firmino	Sadio Mane	1	Liverpool
Sadio Mane	Trent Alexander-Arnold	1	Liverpool
Alisson Becker	Cody Gakpo	1	Liverpool
Cody Gakpo	Kostas Tsimikas	1	Liverpool
Cody Gakpo	Luis Diaz	1	Liverpool
Cody Gakpo	Mohamed Salah	1	Liverpool
Cody Gakpo	Roberto Firmino	1	Liverpool
Cody Gakpo	Sami Hyypia	1	Liverpool
Cody Gakpo	Trent Alexander-Arnold	1	Liverpool
Daniel Agger	Sami Hyypia	1	Liverpool
Jordan Henderson	Sami Hyypia	1	Liverpool
Alphonso Davies	Arjen Robben	1	Bayern Munich
Alphonso Davies	David Alaba	1	Bayern Munich
Alphonso Davies	Dayot Upamecano	1	Bayern Munich
Alphonso Davies	Eric Maxim Choupo-Moting	1	Bayern Munich
Alphonso Davies	Franck Ribery	1	Bayern Munich
Alphonso Davies	Harry Kane	1	Bayern Munich
Alphonso Davies	Jamal Musiala	1	Bayern Munich
Alphonso Davies	Jerome Boateng	1	Bayern Munich
Alphonso Davies	Joshua Kimmich	1	Bayern Munich
Alphonso Davies	Kingsley Coman	1	Bayern Munich
Alphonso Davies	Leon Goretzka	1	Bayern Munich
Alphonso Davies	Leroy Sane	1	Bayern Munich
Alphonso Davies	Mario Mandzukic	1	Bayern Munich
Alphonso Davies	Matthijs de Ligt	1	Bayern Munich
Alphonso Davies	Oliver Kahn	1	Bayern Munich
Alphonso Davies	Philipp Lahm	1	Bayern Munich
Alphonso Davies	Rafinha	1	Bayern Munich
Alphonso Davies	Robert Lewandowski	1	Bayern Munich
Alphonso Davies	Serge Gnabry	1	Bayern Munich
Alphonso Davies	Sven Ulreich	1	Bayern Munich
Alphonso Davies	Thomas Muller	2	Bayern Munich
Arjen Robben	David Alaba	1	Bayern Munich
Arjen Robben	Dayot Upamecano	1	Bayern Munich
Arjen Robben	Eric Maxim Choupo-Moting	1	Bayern Munich
Arjen Robben	Franck Ribery	1	Bayern Munich
Arjen Robben	Harry Kane	1	Bayern Munich
Arjen Robben	Jamal Musiala	1	Bayern Munich
Arjen Robben	Jerome Boateng	1	Bayern Munich
Arjen Robben	Joshua Kimmich	1	Bayern Munich
Arjen Robben	Kingsley Coman	1	Bayern Munich
Arjen Robben	Leon Goretzka	1	Bayern Munich
Arjen Robben	Leroy Sane	1	Bayern Munich
Arjen Robben	Mario Mandzukic	1	Bayern Munich
Arjen Robben	Matthijs de Ligt	1	Bayern Munich
Arjen Robben	Oliver Kahn	1	Bayern Munich
Arjen Robben	Philipp Lahm	1	Bayern Munich
Arjen Robben	Rafinha	1	Bayern Munich
Arjen Robben	Robert Lewandowski	1	Bayern Munich
Arjen Robben	Serge Gnabry	1	Bayern Munich
Arjen Robben	Sven Ulreich	1	Bayern Munich
Arjen Robben	Thomas Muller	2	Bayern Munich
David Alaba	Dayot Upamecano	1	Bayern Munich
David Alaba	Eric Maxim Choupo-Moting	1	Bayern Munich
David Alaba	Franck Ribery	1	Bayern Munich
David Alaba	Harry Kane	1	Bayern Munich
David Alaba	Jamal Musiala	1	Bayern Munich
David Alaba	Jerome Boateng	1	Bayern Munich
David Alaba	Joshua Kimmich	1	Bayern Munich
David Alaba	Kingsley Coman	1	Bayern Munich
David Alaba	Leon Goretzka	1	Bayern Munich
David Alaba	Leroy Sane	1	Bayern Munich
David Alaba	Mario Mandzukic	1	Bayern Munich
David Alaba	Matthijs de Ligt	1	Bayern Munich
David Alaba	Oliver Kahn	1	Bayern Munich
David Alaba	Philipp Lahm	1	Bayern Munich
David Alaba	Rafinha	1	Bayern Munich
David Alaba	Robert Lewandowski	1	Bayern Munich
David Alaba	Serge Gnabry	1	Bayern Munich
David Alaba	Sven Ulreich	1	Bayern Munich
David Alaba	Thomas Muller	2	Bayern Munich
Dayot Upamecano	Eric Maxim Choupo-Moting	1	Bayern Munich
Dayot Upamecano	Franck Ribery	1	Bayern Munich
Dayot Upamecano	Harry Kane	1	Bayern Munich
Dayot Upamecano	Jamal Musiala	1	Bayern Munich
Dayot Upamecano	Jerome Boateng	1	Bayern Munich
Dayot Upamecano	Joshua Kimmich	1	Bayern Munich
Dayot Upamecano	Kingsley Coman	1	Bayern Munich
Dayot Upamecano	Leon Goretzka	1	Bayern Munich
Dayot Upamecano	Leroy Sane	1	Bayern Munich
Dayot Upamecano	Mario Mandzukic	1	Bayern Munich
Dayot Upamecano	Matthijs de Ligt	1	Bayern Munich
Dayot Upamecano	Oliver Kahn	1	Bayern Munich
Dayot Upamecano	Philipp Lahm	1	Bayern Munich
Dayot Upamecano	Rafinha	1	Bayern Munich
Dayot Upamecano	Robert Lewandowski	1	Bayern Munich
Dayot Upamecano	Serge Gnabry	1	Bayern Munich
Dayot Upamecano	Sven Ulreich	1	Bayern Munich
Dayot Upamecano	Thomas Muller	2	Bayern Munich
Eric Maxim Choupo-Moting	Franck Ribery	1	Bayern Munich
Eric Maxim Choupo-Moting	Harry Kane	1	Bayern Munich
Eric Maxim Choupo-Moting	Jamal Musiala	1	Bayern Munich
Eric Maxim Choupo-Moting	Jerome Boateng	1	Bayern Munich
Eric Maxim Choupo-Moting	Joshua Kimmich	1	Bayern Munich
Eric Maxim Choupo-Moting	Kingsley Coman	1	Bayern Munich
Eric Maxim Choupo-Moting	Leon Goretzka	1	Bayern Munich
Eric Maxim Choupo-Moting	Leroy Sane	1	Bayern Munich
Eric Maxim Choupo-Moting	Mario Mandzukic	1	Bayern Munich
Eric Maxim Choupo-Moting	Matthijs de Ligt	1	Bayern Munich
Eric Maxim Choupo-Moting	Oliver Kahn	1	Bayern Munich
Eric Maxim Choupo-Moting	Philipp Lahm	1	Bayern Munich
Eric Maxim Choupo-Moting	Rafinha	1	Bayern Munich
Eric Maxim Choupo-Moting	Robert Lewandowski	1	Bayern Munich
Eric Maxim Choupo-Moting	Serge Gnabry	1	Bayern Munich
Eric Maxim Choupo-Moting	Sven Ulreich	1	Bayern Munich
Eric Maxim Choupo-Moting	Thomas Muller	2	Bayern Munich
Franck Ribery	Harry Kane	1	Bayern Munich
Franck Ribery	Jamal Musiala	1	Bayern Munich
Franck Ribery	Jerome Boateng	1	Bayern Munich
Franck Ribery	Joshua Kimmich	1	Bayern Munich
Franck Ribery	Kingsley Coman	1	Bayern Munich
Franck Ribery	Leon Goretzka	1	Bayern Munich
Franck Ribery	Leroy Sane	1	Bayern Munich
Franck Ribery	Mario Mandzukic	1	Bayern Munich
Franck Ribery	Matthijs de Ligt	1	Bayern Munich
Franck Ribery	Oliver Kahn	1	Bayern Munich
Franck Ribery	Philipp Lahm	1	Bayern Munich
Franck Ribery	Rafinha	1	Bayern Munich
Franck Ribery	Robert Lewandowski	1	Bayern Munich
Franck Ribery	Serge Gnabry	1	Bayern Munich
Franck Ribery	Sven Ulreich	1	Bayern Munich
Franck Ribery	Thomas Muller	2	Bayern Munich
Harry Kane	Jamal Musiala	1	Bayern Munich
Harry Kane	Jerome Boateng	1	Bayern Munich
Harry Kane	Joshua Kimmich	1	Bayern Munich
Harry Kane	Kingsley Coman	1	Bayern Munich
Harry Kane	Leon Goretzka	1	Bayern Munich
Harry Kane	Leroy Sane	1	Bayern Munich
Harry Kane	Mario Mandzukic	1	Bayern Munich
Harry Kane	Matthijs de Ligt	1	Bayern Munich
Harry Kane	Oliver Kahn	1	Bayern Munich
Harry Kane	Philipp Lahm	1	Bayern Munich
Harry Kane	Rafinha	1	Bayern Munich
Harry Kane	Robert Lewandowski	1	Bayern Munich
Harry Kane	Serge Gnabry	1	Bayern Munich
Harry Kane	Sven Ulreich	1	Bayern Munich
Harry Kane	Thomas Muller	2	Bayern Munich
Jamal Musiala	Jerome Boateng	1	Bayern Munich
Jamal Musiala	Joshua Kimmich	1	Bayern Munich
Jamal Musiala	Kingsley Coman	1	Bayern Munich
Jamal Musiala	Leon Goretzka	1	Bayern Munich
Jamal Musiala	Leroy Sane	1	Bayern Munich
Jamal Musiala	Mario Mandzukic	1	Bayern Munich
Jamal Musiala	Matthijs de Ligt	1	Bayern Munich
Jamal Musiala	Oliver Kahn	1	Bayern Munich
Jamal Musiala	Philipp Lahm	1	Bayern Munich
Jamal Musiala	Rafinha	1	Bayern Munich
Jamal Musiala	Robert Lewandowski	1	Bayern Munich
Jamal Musiala	Serge Gnabry	1	Bayern Munich
Jamal Musiala	Sven Ulreich	1	Bayern Munich
Jamal Musiala	Thomas Muller	2	Bayern Munich
Jerome Boateng	Joshua Kimmich	1	Bayern Munich
Jerome Boateng	Kingsley Coman	1	Bayern Munich
Jerome Boateng	Leon Goretzka	1	Bayern Munich
Jerome Boateng	Leroy Sane	1	Bayern Munich
Jerome Boateng	Mario Mandzukic	1	Bayern Munich
Jerome Boateng	Matthijs de Ligt	1	Bayern Munich
Jerome Boateng	Oliver Kahn	1	Bayern Munich
Jerome Boateng	Philipp Lahm	1	Bayern Munich
Jerome Boateng	Rafinha	1	Bayern Munich
Jerome Boateng	Robert Lewandowski	1	Bayern Munich
Jerome Boateng	Serge Gnabry	1	Bayern Munich
Jerome Boateng	Sven Ulreich	1	Bayern Munich
Jerome Boateng	Thomas Muller	2	Bayern Munich
Joshua Kimmich	Kingsley Coman	1	Bayern Munich
Joshua Kimmich	Leon Goretzka	1	Bayern Munich
Joshua Kimmich	Leroy Sane	1	Bayern Munich
Joshua Kimmich	Mario Mandzukic	1	Bayern Munich
Joshua Kimmich	Matthijs de Ligt	1	Bayern Munich
Joshua Kimmich	Oliver Kahn	1	Bayern Munich
Joshua Kimmich	Philipp Lahm	1	Bayern Munich
Joshua Kimmich	Rafinha	1	Bayern Munich
Joshua Kimmich	Robert Lewandowski	1	Bayern Munich
Joshua Kimmich	Serge Gnabry	1	Bayern Munich
Joshua Kimmich	Sven Ulreich	1	Bayern Munich
Joshua Kimmich	Thomas Muller	2	Bayern Munich
Kingsley Coman	Leon Goretzka	1	Bayern Munich
Kingsley Coman	Leroy Sane	1	Bayern Munich
Kingsley Coman	Mario Mandzukic	1	Bayern Munich
Kingsley Coman	Matthijs de Ligt	1	Bayern Munich
Kingsley Coman	Oliver Kahn	1	Bayern Munich
Kingsley Coman	Philipp Lahm	1	Bayern Munich
Kingsley Coman	Rafinha	1	Bayern Munich
Kingsley Coman	Robert Lewandowski	1	Bayern Munich
Kingsley Coman	Serge Gnabry	1	Bayern Munich
Kingsley Coman	Sven Ulreich	1	Bayern Munich
Kingsley Coman	Thomas Muller	2	Bayern Munich
Leon Goretzka	Leroy Sane	1	Bayern Munich
Leon Goretzka	Mario Mandzukic	1	Bayern Munich
Leon Goretzka	Matthijs de Ligt	1	Bayern Munich
Leon Goretzka	Oliver Kahn	1	Bayern Munich
Leon Goretzka	Philipp Lahm	1	Bayern Munich
Leon Goretzka	Rafinha	1	Bayern Munich
Leon Goretzka	Robert Lewandowski	1	Bayern Munich
Leon Goretzka	Serge Gnabry	1	Bayern Munich
Leon Goretzka	Sven Ulreich	1	Bayern Munich
Leon Goretzka	Thomas Muller	2	Bayern Munich
Leroy Sane	Mario Mandzukic	1	Bayern Munich
Leroy Sane	Matthijs de Ligt	1	Bayern Munich
Leroy Sane	Oliver Kahn	1	Bayern Munich
Leroy Sane	Philipp Lahm	1	Bayern Munich
Leroy Sane	Rafinha	1	Bayern Munich
